Industry;PermId;HierarchicalId;Ticker;Name;MarketCapitalization;TTM Sales$;Employees;Companies URL
Oil & Gas Exploration and Production;4294952994;50102020;PGRP.L;Phoenix Global Resources PLC;969.592;86.356;137;https://www.reuters.com/finance/stocks/overview?symbol=PGRP.L;
Oil & Gas Exploration and Production;4294952994;50102020;CRC.N;California Resources Corp;964.960;2,052.000;2,000;https://www.reuters.com/finance/stocks/overview?symbol=CRC.N;
Oil & Gas Exploration and Production;4294952994;50102020;REI.A;Ring Energy Inc;824.314;53.222;30;https://www.reuters.com/finance/stocks/overview?symbol=REI.A;
Oil & Gas Exploration and Production;4294952994;50102020;SGY.N;Stone Energy Corp;764.766;357.400;241;https://www.reuters.com/finance/stocks/overview?symbol=SGY.N;
Oil & Gas Exploration and Production;4294952994;50102020;REN.N;Resolute Energy Corp;761.982;280.472;206;https://www.reuters.com/finance/stocks/overview?symbol=REN.N;
Oil & Gas Exploration and Production;4294952994;50102020;HUR.L;Hurricane Energy PLC;729.218;0.000;15;https://www.reuters.com/finance/stocks/overview?symbol=HUR.L;
Oil & Gas Exploration and Production;4294952994;50102020;ESTE.N;Earthstone Energy Inc;715.045;87.404;48;https://www.reuters.com/finance/stocks/overview?symbol=ESTE.N;
Oil & Gas Exploration and Production;4294952994;50102020;SBR.N;Sabine Royalty Trust;708.556;35.686;0;https://www.reuters.com/finance/stocks/overview?symbol=SBR.N;
Oil & Gas Exploration and Production;4294952994;50102020;PMO.L;Premier Oil PLC;695.687;839.334;801;https://www.reuters.com/finance/stocks/overview?symbol=PMO.L;
Oil & Gas Exploration and Production;4294952994;50102020;INDII.L;Indus Gas Ltd;688.230;40.849;--;https://www.reuters.com/finance/stocks/overview?symbol=INDII.L;
Oil & Gas Exploration and Production;4294952994;50102020;SD.N;SandRidge Energy Inc;682.641;362.549;509;https://www.reuters.com/finance/stocks/overview?symbol=SD.N;
Oil & Gas Exploration and Production;4294952994;50102020;AOIX.PK;American Oil & Gas Inc;661.667;0.000;17;https://www.reuters.com/finance/stocks/overview?symbol=AOIX.PK;
Oil & Gas Exploration and Production;4294952994;50102020;NOGN.L;Nostrum Oil & Gas PLC;632.322;293.617;985;https://www.reuters.com/finance/stocks/overview?symbol=NOGN.L;
Oil & Gas Exploration and Production;4294952994;50102020;GPRK.N;GeoPark Ltd;631.012;252.116;345;https://www.reuters.com/finance/stocks/overview?symbol=GPRK.N;
Oil & Gas Exploration and Production;4294952994;50102020;WTI.N;W&T Offshore Inc;625.711;473.210;302;https://www.reuters.com/finance/stocks/overview?symbol=WTI.N;
Oil & Gas Exploration and Production;4294952994;50102020;ERN.A;Erin Energy Corp;601.872;100.625;74;https://www.reuters.com/finance/stocks/overview?symbol=ERN.A;
Oil & Gas Exploration and Production;4294952994;50102020;ECR.N;Eclipse Resources Corp;599.048;363.486;138;https://www.reuters.com/finance/stocks/overview?symbol=ECR.N;
Oil & Gas Exploration and Production;4294952994;50102020;EPE.N;EP Energy Corp;590.495;1,030.000;502;https://www.reuters.com/finance/stocks/overview?symbol=EPE.N;
Oil & Gas Exploration and Production;4294952994;50102020;BCEI.N;Bonanza Creek Energy Inc;570.040;189.201;231;https://www.reuters.com/finance/stocks/overview?symbol=BCEI.N;
Oil & Gas Exploration and Production;4294952994;50102020;SOU.L;Sound Energy PLC;544.506;0.682;38;https://www.reuters.com/finance/stocks/overview?symbol=SOU.L;
Oil & Gas Exploration and Production;4294952994;50102020;ENQ.L;EnQuest PLC;493.716;547.532;477;https://www.reuters.com/finance/stocks/overview?symbol=ENQ.L;
Oil & Gas Exploration and Production;4294952994;50102020;OPHR.L;Ophir Energy PLC;482.453;103.526;288;https://www.reuters.com/finance/stocks/overview?symbol=OPHR.L;
Oil & Gas Exploration and Production;4294952994;50102020;SN.N;Sanchez Energy Corp;459.345;620.088;0;https://www.reuters.com/finance/stocks/overview?symbol=SN.N;
Oil & Gas Exploration and Production;4294952994;50102020;MPO.N;Midstates Petroleum Company Inc;457.903;238.449;124;https://www.reuters.com/finance/stocks/overview?symbol=MPO.N;
Oil & Gas Exploration and Production;4294952994;50102020;SJT.N;San Juan Basin Royalty Trust;436.258;46.091;0;https://www.reuters.com/finance/stocks/overview?symbol=SJT.N;
Oil & Gas Exploration and Production;4294952994;50102020;KGNI.BO;KGN Industries Ltd;424.975;5.076;0;https://www.reuters.com/finance/stocks/overview?symbol=KGNI.BO;
Oil & Gas Exploration and Production;4294952994;50102020;EASG.BO;Eastern Gases Ltd;418.500;1,144.131;--;https://www.reuters.com/finance/stocks/overview?symbol=EASG.BO;
Oil & Gas Exploration and Production;4294952994;50102020;FPM.L;Faroe Petroleum PLC;407.707;151.835;--;https://www.reuters.com/finance/stocks/overview?symbol=FPM.L;
Oil & Gas Exploration and Production;4294952994;50102020;SQZ.L;Serica Energy PLC;407.059;0.000;10;https://www.reuters.com/finance/stocks/overview?symbol=SQZ.L;
Oil & Gas Exploration and Production;4294952994;50102020;SIA.L;SOCO International PLC;395.556;112.571;17;https://www.reuters.com/finance/stocks/overview?symbol=SIA.L;
Oil & Gas Exploration and Production;4294952994;50102020;VNRR.PK;Vanguard Natural Resources Inc;387.682;349.466;357;https://www.reuters.com/finance/stocks/overview?symbol=VNRR.PK;
Oil & Gas Exploration and Production;4294952994;50102020;BBG.N;Bill Barrett Corp;387.522;221.087;111;https://www.reuters.com/finance/stocks/overview?symbol=BBG.N;
Oil & Gas Exploration and Production;4294952994;50102020;GENL.L;Genel Energy PLC;386.205;134.811;137;https://www.reuters.com/finance/stocks/overview?symbol=GENL.L;
Oil & Gas Exploration and Production;4294952994;50102020;SQTX.PK;Solar Quartz Technologies Corp;385.929;0.000;1;https://www.reuters.com/finance/stocks/overview?symbol=SQTX.PK;
Oil & Gas Exploration and Production;4294952994;50102020;SBOW.N;SilverBow Resources Inc;371.615;180.059;151;https://www.reuters.com/finance/stocks/overview?symbol=SBOW.N;
Oil & Gas Exploration and Production;4294952994;50102020;PHX.N;Panhandle Oil and Gas Inc;355.242;45.100;21;https://www.reuters.com/finance/stocks/overview?symbol=PHX.N;
Oil & Gas Exploration and Production;4294952994;50102020;FTMR.PK;Fortem Resources Inc;349.934;0.000;0;https://www.reuters.com/finance/stocks/overview?symbol=FTMR.PK;
Oil & Gas Exploration and Production;4294952994;50102020;GKP.L;Gulf Keystone Petroleum Ltd;298.701;123.220;309;https://www.reuters.com/finance/stocks/overview?symbol=GKP.L;
Oil & Gas Exploration and Production;4294952994;50102020;GST.A;Gastar Exploration Inc;278.056;74.934;45;https://www.reuters.com/finance/stocks/overview?symbol=GST.A;
Oil & Gas Exploration and Production;4294952994;50102020;AMPY.PK;Amplify Energy Corp;272.000;308.611;289;https://www.reuters.com/finance/stocks/overview?symbol=AMPY.PK;
