Industry;PermId;HierarchicalId;Thomson Reuters Company Ranking URL
Consumer Publishing;4294952741;53302040;https://www.reuters.com/sectors/industries/rankings?industryCode=260
Multiline Insurance & Brokers;4294952734;55301010;https://www.reuters.com/sectors/industries/rankings?industryCode=267
Specialized REITs;4294952733;55403040;https://www.reuters.com/sectors/industries/rankings?industryCode=268
Mutual Funds;4294952729;55501020;https://www.reuters.com/sectors/industries/rankings?industryCode=272
Closed End Funds;4294952728;55501030;https://www.reuters.com/sectors/industries/rankings?industryCode=273
Pension Funds;4294952726;55501050;https://www.reuters.com/sectors/industries/rankings?industryCode=275
Insurance Funds;4294952725;55501060;https://www.reuters.com/sectors/industries/rankings?industryCode=276
Pharmaceuticals;4294952724;56201040;https://www.reuters.com/sectors/industries/rankings?industryCode=277
Communications & Networking;4294952720;57102010;https://www.reuters.com/sectors/industries/rankings?industryCode=281
Phones & Handheld Devices;4294952717;57106020;https://www.reuters.com/sectors/industries/rankings?industryCode=284
Household Electronics;4294952716;57106030;https://www.reuters.com/sectors/industries/rankings?industryCode=285
Independent Power Producers;4294952709;59101020;https://www.reuters.com/sectors/industries/rankings?industryCode=292
